"Time","B04105",,
"and",262.01,,
"Date","Mean","Qual",
10/01/1960,         265,      1,Sites:
10/02/1960,         260,      1,B04105 - Tuolumne River at Tuolumne City Lat:37.627153 Long:-120.987434 Elev:35m
10/03/1960,         260,      1,
10/04/1960,         255,      1,Variables:
10/05/1960,         255,      1,262 - Flow (Cubic feet/second)
10/06/1960,         255,      1,
10/07/1960,         270,      1,Qualities:
10/08/1960,         265,      1,1 - Good data
10/09/1960,         265,      1,151 - Data Missing
10/10/1960,         260,      1,255 - No data exists
10/11/1960,         260,      1,
10/12/1960,         420,      1,
10/13/1960,         520,      1,
10/14/1960,         595,      1,
10/15/1960,         620,      1,
10/16/1960,         630,      1,
10/17/1960,         595,      1,
10/18/1960,         475,      1,
10/19/1960,         585,      1,
10/20/1960,         630,      1,
10/21/1960,         645,      1,
10/22/1960,         650,      1,
10/23/1960,         620,      1,
10/24/1960,         405,      1,
10/25/1960,         335,      1,
10/26/1960,         255,      1,
10/27/1960,         505,      1,
10/28/1960,         595,      1,
10/29/1960,         635,      1,
10/30/1960,         640,      1,
10/31/1960,         590,      1,
11/01/1960,         565,      1,
11/02/1960,         630,      1,
11/03/1960,         680,      1,
11/04/1960,         675,      1,
11/05/1960,         700,      1,
11/06/1960,         705,      1,
11/07/1960,         680,      1,
11/08/1960,         725,      1,
11/09/1960,         705,      1,
11/10/1960,         670,      1,
11/11/1960,         670,      1,
11/12/1960,         685,      1,
11/13/1960,         685,      1,
11/14/1960,         645,      1,
11/15/1960,         550,      1,
11/16/1960,         605,      1,
11/17/1960,         560,      1,
11/18/1960,         630,      1,
11/19/1960,         640,      1,
11/20/1960,         560,      1,
11/21/1960,         480,      1,
11/22/1960,         455,      1,
11/23/1960,         595,      1,
11/24/1960,         620,      1,
11/25/1960,         595,      1,
11/26/1960,         440,      1,
11/27/1960,         395,      1,
11/28/1960,         450,      1,
11/29/1960,         480,      1,
11/30/1960,         585,      1,
12/01/1960,         645,      1,
12/02/1960,         665,      1,
12/03/1960,         805,      1,
12/04/1960,         760,      1,
12/05/1960,         695,      1,
12/06/1960,         620,      1,
12/07/1960,         780,      1,
12/08/1960,         940,      1,
12/09/1960,         945,      1,
12/10/1960,         910,      1,
12/11/1960,         910,      1,
12/12/1960,         885,      1,
12/13/1960,         755,      1,
12/14/1960,         850,      1,
12/15/1960,         925,      1,
12/16/1960,         925,      1,
12/17/1960,         890,      1,
12/18/1960,         815,      1,
12/19/1960,         790,      1,
12/20/1960,         885,      1,
12/21/1960,         950,      1,
12/22/1960,         920,      1,
12/23/1960,         920,      1,
12/24/1960,         895,      1,
12/25/1960,         885,      1,
12/26/1960,         885,      1,
12/27/1960,         850,      1,
12/28/1960,         840,      1,
12/29/1960,         900,      1,
12/30/1960,         925,      1,
